"Date","Price","Open","High","Low","Vol.","Change %"
"03/19/2015","2,089.30","2,098.70","2,098.70","2,085.60","","-0.49%"
"03/18/2015","2,099.50","2,072.80","2,106.80","2,061.20","","1.21%"
"03/17/2015","2,074.30","2,080.60","2,080.60","2,065.10","","-0.33%"
"03/16/2015","2,081.20","2,055.30","2,081.40","2,055.30","","1.35%"
"03/13/2015","2,053.40","2,064.60","2,064.60","2,041.20","","-0.61%"
"03/12/2015","2,065.90","2,041.10","2,066.40","2,041.10","","1.26%"
"03/11/2015","2,040.20","2,044.70","2,050.10","2,039.70","","-0.20%"
"03/10/2015","2,044.20","2,076.10","2,076.10","2,044.20","","-1.69%"
"03/09/2015","2,079.40","2,072.20","2,083.50","2,072.20","","0.39%"
"03/06/2015","2,071.30","2,100.90","2,100.90","2,067.30","","-1.41%"
"03/05/2015","2,101.00","2,098.50","2,104.20","2,095.20","","0.12%"
"03/04/2015","2,098.50","2,107.70","2,107.70","2,087.60","","-0.44%"
"03/03/2015","2,107.80","2,115.80","2,115.80","2,098.30","","-0.45%"
"03/02/2015","2,117.40","2,105.20","2,117.50","2,104.50","","0.61%"
"02/27/2015","2,104.50","2,110.90","2,112.70","2,103.80","","-0.29%"
"02/26/2015","2,110.70","2,113.90","2,113.90","2,103.80","","-0.15%"
"02/25/2015","2,113.90","2,115.30","2,119.60","2,109.90","","-0.08%"
"02/24/2015","2,115.50","2,109.10","2,117.90","2,105.90","","0.27%"
"02/23/2015","2,109.70","2,109.80","2,110.10","2,103.00","","-0.03%"
"02/20/2015","2,110.30","2,097.70","2,110.60","2,085.40","","0.62%"
"02/19/2015","2,097.40","2,099.20","2,102.10","2,090.80","","-0.11%"
"02/18/2015","2,099.70","2,099.20","2,100.20","2,092.20","","-0.03%"
"02/17/2015","2,100.30","2,096.50","2,101.30","2,089.80","","0.16%"
"02/13/2015","2,097.00","2,088.80","2,097.00","2,086.70","","0.41%"
"02/12/2015","2,088.50","2,070.00","2,088.50","2,070.00","","0.97%"
"02/11/2015","2,068.50","2,068.60","2,073.50","2,058.00","","0.00%"
"02/10/2015","2,068.60","2,049.40","2,070.90","2,048.60","","1.07%"
"02/09/2015","2,046.70","2,053.50","2,056.20","2,041.90","","-0.43%"
"02/06/2015","2,055.50","2,062.30","2,072.40","2,050.00","","-0.34%"
"02/05/2015","2,062.50","2,043.50","2,063.60","2,043.50","","1.03%"
"02/04/2015","2,041.50","2,048.90","2,054.70","2,036.70","","-0.41%"
"02/03/2015","2,050.00","2,022.70","2,050.30","2,022.70","","1.44%"
"02/02/2015","2,020.80","1,996.70","2,021.70","1,980.90","","1.29%"
"01/30/2015","1,995.00","2,019.30","2,023.30","1,993.40","","-1.30%"
"01/29/2015","2,021.20","2,002.50","2,024.60","1,989.20","","0.95%"
"01/28/2015","2,002.20","2,032.30","2,042.50","2,001.50","","-1.35%"
"01/27/2015","2,029.50","2,047.90","2,047.90","2,019.90","","-1.34%"
"01/26/2015","2,057.10","2,050.40","2,057.60","2,041.00","","0.26%"
"01/23/2015","2,051.80","2,063.00","2,063.00","2,050.50","","-0.55%"
"01/22/2015","2,063.20","2,034.30","2,064.60","2,026.40","","1.53%"
"01/21/2015","2,032.10","2,020.20","2,038.30","2,012.00","","0.47%"
"01/20/2015","2,022.50","2,020.80","2,028.90","2,004.50","","0.15%"
"01/16/2015","2,019.40","1,992.20","2,020.50","1,988.10","","1.34%"
"01/15/2015","1,992.70","2,013.80","2,021.30","1,991.50","","-0.92%"
"01/14/2015","2,011.30","2,018.40","2,018.40","1,988.40","","-0.58%"
"01/13/2015","2,023.00","2,031.60","2,056.90","2,008.20","","-0.26%"
"01/12/2015","2,028.30","2,046.10","2,049.30","2,022.60","","-0.81%"
"01/09/2015","2,044.80","2,063.40","2,064.40","2,038.30","","-0.84%"
"01/08/2015","2,062.10","2,030.60","2,064.10","2,030.60","","1.79%"
"01/07/2015","2,025.90","2,005.50","2,029.60","2,005.50","","1.16%"
"01/06/2015","2,002.60","2,022.20","2,030.20","1,992.40","","-0.89%"
"01/05/2015","2,020.60","2,054.40","2,054.40","2,017.30","","-1.83%"
"01/02/2015","2,058.20","2,058.90","2,072.40","2,046.00","","-0.03%"
"12/31/2014","2,058.90","2,082.10","2,085.60","2,057.90","","-1.03%"
"12/30/2014","2,080.30","2,088.50","2,088.50","2,079.50","","-0.49%"
"12/29/2014","2,090.60","2,087.60","2,093.60","2,085.80","","0.09%"
"12/26/2014","2,088.80","2,084.30","2,092.70","2,084.30","","0.33%"
"12/24/2014","2,081.90","2,083.20","2,087.60","2,081.90","","-0.01%"
"12/23/2014","2,082.20","2,081.50","2,086.70","2,079.80","","0.18%"
"12/22/2014","2,078.50","2,069.30","2,078.80","2,069.30","","0.38%"
"12/19/2014","2,070.70","2,061.00","2,077.80","2,061.00","","0.46%"
"12/18/2014","2,061.20","2,019.00","2,061.20","2,019.00","","2.40%"
"12/17/2014","2,012.90","1,973.80","2,016.80","1,973.80","","2.04%"
"12/16/2014","1,972.70","1,986.70","2,016.90","1,972.60","","-0.85%"
"12/15/2014","1,989.60","2,005.00","2,018.70","1,982.30","","-0.63%"
"12/12/2014","2,002.30","2,030.40","2,032.20","2,002.30","","-1.62%"
"12/11/2014","2,035.30","2,027.90","2,055.50","2,027.90","","0.45%"
"12/10/2014","2,026.10","2,058.90","2,058.90","2,024.30","","-1.64%"
"12/09/2014","2,059.80","2,056.60","2,060.60","2,034.20","","-0.02%"
"12/08/2014","2,060.30","2,074.80","2,075.80","2,054.30","","-0.73%"
"12/05/2014","2,075.40","2,072.80","2,079.50","2,070.80","","0.17%"
"12/04/2014","2,071.90","2,073.60","2,077.30","2,062.30","","-0.12%"
"12/03/2014","2,074.30","2,067.40","2,076.30","2,066.70","","0.37%"
"12/02/2014","2,066.60","2,053.80","2,068.80","2,053.80","","0.64%"
"12/01/2014","2,053.40","2,065.80","2,065.80","2,049.60","","-0.69%"
"11/28/2014","2,067.60","2,074.80","2,075.80","2,065.10","","-0.25%"
"11/26/2014","2,072.80","2,067.40","2,073.30","2,066.60","","0.28%"
"11/25/2014","2,067.00","2,070.20","2,074.20","2,064.80","","-0.12%"
"11/24/2014","2,069.40","2,065.10","2,070.20","2,065.10","","0.29%"
"11/21/2014","2,063.50","2,057.50","2,071.50","2,056.80","","0.52%"
"11/20/2014","2,052.80","2,045.90","2,053.80","2,040.50","","0.20%"
"11/19/2014","2,048.70","2,051.20","2,052.10","2,040.40","","-0.15%"
